Date,Open,High,Low,Close,Volume
2013/12/26,   100.0000,102.5,87.2,88.0,2845
2013/12/27,    85.0000,86.7,81.5,84.0,1123
2013/12/30,    83.7000,86.0,82.3,82.3,686
2013/12/31,    83.0000,83.3,78.1,78.7,912
2014/01/02,    78.7000,80.8,78.6,79.5,506
2014/01/03,    79.5000,82.2,79.5,79.8,497
2014/01/06,    79.7000,79.7,74.3,74.3,631
2014/01/07,    74.3000,74.4,71.9,72.0,363
2014/01/08,    72.0000,77.0,72.0,75.1,528
2014/01/09,    73.5000,73.8,72.0,72.0,322
2014/01/10,    72.4000,72.5,68.1,68.1,536
2014/01/13,    68.1000,69.0,65.0,65.0,364
2014/01/14,    65.0000,69.5,63.8,69.5,533
2014/01/15,    69.3000,74.3,69.0,73.0,854
2014/01/16,    71.6000,75.0,71.3,72.5,480
2014/01/17,    72.5000,72.9,70.3,70.5,218
2014/01/20,    71.8000,71.8,68.5,68.8,219
2014/01/21,    69.7000,69.7,67.0,67.4,93
2014/01/22,    67.5000,71.0,67.5,68.7,181
2014/01/23,    68.4000,69.9,67.6,67.8,136
2014/01/24,    69.0000,69.0,67.1,67.7,65
2014/01/27,    66.5000,66.5,64.1,65.3,97
2014/02/05,    63.5000,67.9,63.0,65.3,88
2014/02/06,    66.6000,66.6,65.7,65.7,58
2014/02/07,    66.7000,66.7,64.5,64.5,149
2014/02/10,    65.4000,65.4,64.3,64.3,46
2014/02/11,    64.9000,64.9,64.0,64.0,118
2014/02/12,    64.4000,68.0,64.2,66.8,205
2014/02/13,    66.8000,69.8,66.8,68.5,277
2014/02/14,    69.5000,69.5,66.8,67.1,144
2014/02/17,    67.1000,67.4,65.5,65.7,92
2014/02/18,    65.7000,67.5,65.7,66.3,56
2014/02/19,    66.1000,67.0,66.1,66.4,72
2014/02/20,    66.4000,66.4,64.7,64.7,85
2014/02/21,    65.7000,65.9,64.4,64.4,78
2014/02/24,    64.6000,64.9,64.0,64.4,69
2014/02/25,    64.4000,65.6,64.4,65.6,75
2014/02/26,    67.0000,67.0,64.7,65.4,91
2014/02/27,    65.2000,66.0,65.0,65.0,102
2014/03/03,    65.0000,65.5,64.4,64.4,93
2014/03/04,    64.5000,64.9,64.4,64.5,65
2014/03/05,    65.0000,65.9,65.0,65.4,131
2014/03/06,    65.7000,69.9,65.5,69.9,271
2014/03/07,    73.3000,74.7,70.5,74.7,1042
2014/03/10,    75.0000,79.6,72.6,78.4,1281
2014/03/11,    78.0000,79.3,75.5,75.5,854
2014/03/12,    76.9000,78.9,76.0,77.4,564
