3023 獺ü -- 20170528-99999999																				
																				
るら	秨絃基(じ)	程蔼基(じ)	程基(じ)	Μ絃基(じ)	Θユ秖()	Θユ(じ)	厨筍瞯	秅锣瞯	瑈硄计()	カ(κ窾じ)	程处ボ禦基	程处ボ芥基	厨筍瞯-Ln	カゑ	Θユゑ	Θユ掸计(掸)	セ痲ゑ-TSE	セ痲ゑ-TEJ	基瞓ゑ-TSE	基瞓ゑ-TEJ
2019/3/8	91.1	92	91.1	91.8	671 	"61,509"	0.1091	0.2941	"228,138"	"20,943"	91.6	91.8	0.109	0.068	0.069	378	14.39	14.9515	3.31	3.3498
2019/3/7	91.6	92	91.1	91.7	724 	"66,369"	0.3282	0.3174	"228,138"	"20,920"	91.4	91.7	0.3277	0.068	0.072	573	14.373	14.9352	3.31	3.3462
2019/3/6	91.5	91.7	90.3	91.4	1357 	"123,547"	0.6608	0.5948	"228,138"	"20,851"	91.2	91.4	0.6586	0.067	0.138	"1,145"	14.326	14.8355	3.29	3.3238
2019/3/5	90.7	92.1	90.3	90.8	1704 	"155,029"	0.3315	0.7469	"228,138"	"20,714"	90.8	90.9	0.3309	0.067	0.168	"1,480"	14.23	14.7381	3.27	3.302
2019/3/4	90.2	90.8	89.2	90.5	1296 	"116,474"	0.3326	0.5681	"228,138"	"20,646"	90.4	90.5	0.332	0.067	0.096	"1,158"	14.185	14.6894	3.26	3.2911
2019/2/27	90.3	90.3	88.6	90.2	906 	"81,292"	0.2222	0.3971	"228,138"	"20,578"	90	90.2	0.222	0.066	0.064	734	14.1379	14.6407	3.25	3.2802
2019/2/26	88.6	90	88.2	90	1071 	"95,445"	2.1566	0.4711	"227,358"	"20,462"	89.9	90	2.1337	0.066	0.079	783	14.11	14.6082	3.24	3.2729
2019/2/25	89.2	89.4	87.8	88.1	1064 	"94,332"	-0.7883	0.468	"227,358"	"20,030"	88.1	88.2	-0.7914	0.064	0.082	805	13.8088	14.2998	3.18	3.2038
2019/2/22	90	90	87.8	88.8	562 	"49,935"	-1.3333	0.2472	"227,358"	"20,189"	88.8	88.9	-1.3423	0.065	0.046	424	13.9185	14.4135	3.2	3.2293
2019/2/21	89.7	90.4	89.5	90	659 	"59,276"	0	0.2899	"227,358"	"20,462"	90	90.1	0	0.066	0.052	533	14.1066	14.6082	3.24	3.2729
2019/2/20	89	90.6	88.9	90	1649 	"148,127"	1.5801	0.7253	"227,358"	"20,462"	89.9	90	1.5678	0.067	0.122	"1,135"	14.11	14.6082	3.24	3.2729
2019/2/19	88.2	89	87.9	88.6	771 	"68,365"	0.5675	0.3391	"227,358"	"20,143"	88.6	88.8	0.5659	0.066	0.073	494	13.89	14.381	3.19	3.222
2019/2/18	87.6	88.6	87.6	88.1	911 	"80,383"	0.9164	0.4007	"227,358"	"20,030"	88.1	88.2	0.9122	0.066	0.082	695	13.8088	14.2998	3.18	3.2038
2019/2/15	86.8	87.7	86.1	87.3	469 	"40,960"	1.5116	0.2063	"227,358"	"19,848"	87.2	87.5	1.5003	0.066	0.04	403	13.68	14.17	3.15	3.1747
2019/2/14	87.1	87.5	85.8	86	649 	"56,185"	-1.2629	0.2855	"227,358"	"19,552"	86	86.2	-1.271	0.065	0.054	525	13.48	13.959	3.1	3.1274
2019/2/13	88.2	88.3	87	87.1	547 	"47,926"	-0.5708	0.2406	"227,358"	"19,802"	87.1	87.2	-0.5724	0.066	0.037	494	13.65	14.0963	3.14	3.1582
2019/2/12	86.7	88.2	86.7	87.6	1450 	"127,384"	1.8605	0.6378	"227,358"	"19,916"	87.6	88	1.8434	0.066	0.111	"1,136"	13.73	14.1772	3.16	3.1763
2019/2/11	85.5	86.7	85.4	86	964 	"82,966"	1.0576	0.424	"227,358"	"19,552"	86	86.1	1.052	0.065	0.069	829	13.48	13.9183	3.1	3.1183
2019/1/30	84.5	85.5	84.5	85.1	1259 	"107,296"	0.7101	0.5554	"226,695"	"19,291"	85.1	85.2	0.7076	0.065	0.112	977	13.34	13.77	3.07	3.09
2019/1/29	85.3	85.6	83.1	84.5	1465 	"124,270"	1.1976	0.6462	"226,695"	"19,155"	84.5	84.6	1.1905	0.065	0.153	"1,081"	13.24	13.68	3.05	3.06
2019/1/28	84.3	84.3	82	83.5	674 	"56,010"	-0.8314	0.2973	"226,695"	"18,929"	82.8	83.5	-0.8348	0.063	0.065	560	13.09	13.51	3.01	3.03
2019/1/25	84.3	84.3	83.5	84.2	596 	"50,086"	0.2381	0.2629	"226,695"	"19,087"	84	84.2	0.2378	0.064	0.049	526	13.2	13.63	3.04	3.05
2019/1/24	83.4	84	83.1	84	681 	"57,030"	1.4493	0.3004	"226,695"	"19,042"	84	84.1	1.4389	0.065	0.072	550	13.17	13.59	3.03	3.05
2019/1/23	82	83.4	81.5	82.8	669 	"55,363"	1.5951	0.2951	"226,695"	"18,770"	82.8	83.2	1.5825	0.064	0.094	566	12.98	13.4	2.98	3
2019/1/22	82.9	82.9	81.5	81.5	309 	"25,370"	-1.57	0.1363	"226,695"	"18,475"	81.5	82	-1.5825	0.062	0.036	261	12.77	13.19	2.94	2.96
2019/1/21	82.3	82.9	81.8	82.8	363 	"30,037"	1.4706	0.1601	"226,695"	"18,770"	82.8	82.9	1.4599	0.063	0.036	319	12.98	13.4	2.98	3
2019/1/18	81.9	82.3	81.2	81.6	373 	"30,487"	-0.3663	0.1645	"226,695"	"18,498"	81.6	81.9	-0.367	0.063	0.035	346	12.79	13.21	2.94	2.96
2019/1/17	82.8	82.8	81.1	81.9	287 	"23,585"	-0.486	0.1266	"226,695"	"18,566"	81.9	82	-0.4872	0.063	0.028	259	12.84	13.25	2.95	2.97
2019/1/16	83	83	82.2	82.3	253 	"20,858"	-0.7238	0.1116	"226,695"	"18,656"	82.2	82.6	-0.7264	0.064	0.024	240	12.9	13.32	2.97	2.98
2019/1/15	82.8	83	82.2	82.9	336 	"27,792"	0.729	0.1482	"226,695"	"18,793"	82.9	83	0.7264	0.064	0.031	285	12.99	13.42	2.99	3.01
2019/1/14	82.3	82.8	82.1	82.3	159 	"13,116"	-0.1214	0.0701	"226,695"	"18,656"	82.3	82.4	-0.1214	0.064	0.02	137	12.9	13.32	2.97	2.98
2019/1/11	82.9	83.4	82.1	82.4	176 	"14,562"	-0.6031	0.0776	"226,695"	"18,679"	82.3	82.5	-0.605	0.064	0.017	151	12.92	13.34	2.97	2.99
2019/1/10	82.2	83	81.7	82.9	560 	"46,308"	0.8516	0.247	"226,695"	"18,793"	82.6	82.9	0.848	0.065	0.058	450	12.99	13.42	2.99	3.01
2019/1/9	81	82.9	81	82.2	1061 	"87,327"	1.3564	0.468	"226,695"	"18,634"	82.2	82.4	1.3472	0.064	0.075	850	12.88	13.3	2.96	2.98
2019/1/8	81.9	81.9	81.1	81.1	669 	"54,444"	-1.0976	0.2951	"226,695"	"18,384"	81.1	81.2	-1.1036	0.064	0.077	385	12.71	13.13	2.92	2.94
2019/1/7	81	82.1	80.6	82	1040 	"84,639"	2.372	0.4588	"226,695"	"18,588"	82	82.1	2.3443	0.065	0.104	770	12.85	13.27	2.96	2.97
2019/1/4	80	80.8	79.7	80.1	684 	"54,869"	-1.8382	0.3017	"226,695"	"18,158"	80	80.1	-1.8553	0.065	0.059	521	12.55	12.96	2.89	2.9
2019/1/3	82.8	82.8	81.6	81.6	256 	"21,061"	-1.4493	0.1129	"226,695"	"18,498"	81.6	81.7	-1.4599	0.065	0.027	211	12.79	13.21	2.94	2.96
2019/1/2	83.8	83.8	82.5	82.8	260 	"21,584"	0	0.1147	"226,695"	"18,770"	82.6	82.8	0	0.066	0.035	222	12.98	13.4	2.98	3
2018/12/28	84.5	84.5	82.5	82.8	1685 	"139,784"	-1.1933	0.7433	"226,695"	"18,770"	82.7	82.8	-1.2005	0.065	0.207	514	12.98	13.4	2.98	3
2018/12/27	86	86.2	83.7	83.8	1756 	"149,079"	1.9465	0.7748	"226,627"	"18,991"	83.8	83.9	1.9278	0.066	0.208	"1,380"	13.13	13.56	3.02	3.04
2018/12/26	82.8	83.3	82	82.2	690 	"56,985"	0.2439	0.3045	"226,627"	"18,628"	82.1	82.3	0.2436	0.066	0.094	581	12.88	13.3	2.96	2.98
2018/12/25	81	82.4	80.2	82	593 	"48,400"	0.3672	0.2617	"226,627"	"18,583"	81.9	82.1	0.3665	0.065	0.078	457	12.85	13.27	2.96	2.97
2018/12/24	79.3	81.7	79.3	81.7	635 	"51,587"	3.0265	0.2802	"226,627"	"18,515"	81.5	81.7	2.9816	0.064	0.084	531	12.81	13.22	2.95	2.96
2018/12/22	79.5	79.5	79.1	79.3	78 	"6,189"	-0.5019	0.0344	"226,627"	"17,971"	79.3	79.4	-0.5031	0.062	0.019	77	12.43	12.83	2.86	2.87
2018/12/21	79.9	80.3	79.5	79.7	365 	"29,157"	-0.2503	0.1611	"226,627"	"18,062"	79.7	80	-0.2506	0.062	0.029	285	12.49	12.89	2.87	2.89
2018/12/20	79.9	80.4	79.6	79.9	280 	"22,457"	0.2509	0.1236	"226,627"	"18,107"	79.9	80	0.2506	0.063	0.028	223	12.52	12.93	2.88	2.9
2018/12/19	80.6	80.8	79.6	79.7	431 	"34,587"	-0.375	0.1902	"226,627"	"18,062"	79.7	80	-0.3757	0.062	0.044	345	12.49	12.89	2.87	2.89
2018/12/18	79.2	80.6	79.2	80	1042 	"83,471"	-0.1248	0.4598	"226,627"	"18,130"	80	80.3	-0.1249	0.062	0.102	679	12.54	12.94	2.88	2.9
2018/12/17	79.3	80.5	79.2	80.1	778 	"62,184"	1.0088	0.3433	"226,627"	"18,152"	80	80.1	1.0038	0.062	0.087	450	12.55	12.96	2.89	2.9
2018/12/14	80	80	79	79.3	230 	"18,215"	-0.5019	0.1015	"226,627"	"17,971"	79.3	79.4	-0.5031	0.062	0.021	199	12.43	12.83	2.86	2.87
2018/12/13	80	80.8	79.5	79.7	1451 	"116,167"	0.1256	0.6403	"226,627"	"18,062"	79.7	79.8	0.1255	0.061	0.115	503	12.49	12.89	2.87	2.89
2018/12/12	78.2	79.9	78.2	79.6	675 	"53,572"	2.0513	0.2978	"226,627"	"18,039"	79.6	79.7	2.0305	0.061	0.057	549	12.48	12.88	2.87	2.89
2018/12/11	77.8	78	77.4	78	714 	"55,576"	0.5155	0.3151	"226,627"	"17,676"	77.8	78.1	0.5141	0.061	0.065	293	12.23	12.62	2.81	2.83
2018/12/10	78.4	78.7	77.2	77.6	525 	"40,898"	-2.0202	0.2317	"226,627"	"17,586"	77.6	78	-2.0409	0.061	0.046	461	12.16	12.56	2.8	2.81
2018/12/7	79.9	80.2	78.9	79.2	759 	"60,285"	-0.1261	0.3349	"226,627"	"17,948"	79.1	79.2	-0.1262	0.062	0.066	626	12.41	12.81	2.86	2.87
2018/12/6	79.5	80.2	78.8	79.3	709 	"56,140"	-0.875	0.3128	"226,627"	"17,971"	79.3	79.6	-0.8789	0.062	0.043	511	12.43	12.83	2.86	2.87
2018/12/5	80	80.3	79.2	80	454 	"36,274"	-0.6211	0.2003	"226,627"	"18,130"	79.9	80	-0.6231	0.061	0.035	431	12.54	12.93	2.88	2.9
2018/12/4	81.7	81.7	80.4	80.5	830 	"66,984"	-1.1057	0.3662	"226,627"	"18,243"	80.4	80.5	-1.1118	0.061	0.049	647	12.62	13.01	2.9	2.91
2018/12/3	81.1	82	80.8	81.4	695 	"56,730"	1.4963	0.3067	"226,627"	"18,447"	81.4	81.7	1.4852	0.061	0.037	558	12.76	13.15	2.93	2.95
2018/11/30	80.2	80.6	80	80.2	413 	"33,237"	0.1248	0.1822	"226,627"	"18,175"	80.2	80.4	0.1248	0.065	0.022	322	12.57	14.79	2.89	3.08
2018/11/29	80.7	81.1	80.1	80.1	455 	"36,657"	0.2503	0.201	"226,358"	"18,131"	80	80.1	0.25	0.064	0.029	355	12.55	14.77	2.89	3.07
2018/11/28	79.8	80.1	79.6	79.9	502 	"40,076"	0.1253	0.2218	"226,358"	"18,086"	79.8	80.1	0.1252	0.064	0.036	428	12.52	14.74	2.88	3.06
2018/11/27	80.5	80.6	79.6	79.8	458 	"36,643"	0.2513	0.2023	"226,358"	"18,063"	79.8	80	0.2509	0.065	0.04	410	12.51	14.72	2.88	3.06
2018/11/26	79.5	80.1	78.6	79.6	850 	"67,587"	0.7595	0.3755	"226,358"	"18,018"	79.5	79.8	0.7566	0.065	0.087	603	12.48	14.68	2.87	3.05
2018/11/23	82.9	83.4	78.8	79	1457 	"116,618"	-4.2424	0.6437	"226,358"	"17,882"	79	79.1	-4.335	0.065	0.173	"1,106"	12.38	14.57	2.85	3.03
2018/11/22	83.4	83.5	82.5	82.5	454 	"37,640"	-1.0791	0.2006	"226,358"	"18,674"	82.5	82.6	-1.085	0.067	0.043	361	12.93	15.22	2.97	3.16
2018/11/21	83.2	83.4	82.9	83.4	327 	"27,264"	-0.2392	0.1445	"226,358"	"18,878"	83.3	83.4	-0.2395	0.068	0.031	275	13.07	15.38	3.01	3.2
2018/11/20	83.9	84.2	83.4	83.6	438 	"36,676"	-1.0651	0.1935	"226,358"	"18,923"	83.6	83.7	-1.0708	0.068	0.045	327	13.1	15.42	3.01	3.21
2018/11/19	83.8	84.5	83.7	84.5	321 	"27,079"	0.8353	0.1418	"226,358"	"19,127"	84.3	84.5	0.8319	0.068	0.033	302	13.24	15.58	3.05	3.24
2018/11/16	84.6	84.6	83.6	83.8	385 	"32,262"	-0.8284	0.1701	"226,358"	"18,968"	83.7	83.8	-0.8319	0.068	0.031	358	13.13	15.46	3.02	3.21
2018/11/15	84.4	84.5	83.7	84.5	370 	"31,061"	0.3563	0.1635	"226,358"	"19,127"	84.4	84.5	0.3557	0.068	0.036	338	13.24	15.58	3.05	3.24
2018/11/14	85	85.3	84.1	84.2	252 	"21,310"	-0.9412	0.1113	"226,358"	"19,059"	84.2	84.3	-0.9456	0.068	0.023	229	13.2	15.53	3.04	3.23
2018/11/13	85	85	83.5	85	584 	"49,244"	-0.2347	0.258	"226,358"	"19,240"	85	85.2	-0.235	0.069	0.05	494	13.32	15.68	3.06	3.26
2018/11/12	85.6	85.8	84.2	85.2	515 	"43,744"	-0.4673	0.2275	"226,358"	"19,285"	85.2	85.4	-0.4684	0.069	0.055	366	13.35	15.71	3.07	3.27
2018/11/9	86.1	86.1	85.2	85.6	202 	"17,346"	-0.3492	0.0892	"226,358"	"19,376"	85.6	85.7	-0.3499	0.069	0.02	182	13.42	15.79	3.09	3.28
2018/11/8	86.2	86.3	85.5	85.9	284 	"24,383"	0.5855	0.1255	"226,358"	"19,444"	85.7	85.9	0.5838	0.069	0.023	255	13.46	15.84	3.1	3.29
2018/11/7	85.1	85.8	84.7	85.4	207 	"17,706"	0.3525	0.0914	"226,358"	"19,330"	85.4	85.6	0.3519	0.068	0.017	193	13.39	15.75	3.08	3.28
2018/11/6	85.8	86.4	85	85.1	303 	"25,948"	-0.8159	0.1339	"226,358"	"19,263"	85.1	85.2	-0.8192	0.069	0.025	259	13.34	15.7	3.07	3.26
2018/11/5	86.1	87	85.8	85.8	407 	"35,105"	-1.3793	0.1798	"226,358"	"19,421"	85.8	86	-1.3889	0.069	0.037	397	14.77	15.82	3.28	3.29
2018/11/2	87.1	87.5	86.3	87	455 	"39,555"	0.578	0.201	"226,358"	"19,693"	86.8	87	0.5764	0.07	0.03	390	14.97	16.05	3.32	3.34
2018/11/1	85.1	86.5	84.8	86.5	365 	"31,507"	1.5258	0.1612	"226,358"	"19,579"	86.5	86.6	1.5143	0.07	0.028	341	14.89	15.91	3.3	3.31
2018/10/31	85.1	86	84.5	85.2	627 	"53,505"	0.1175	0.277	"226,358"	"19,285"	85.2	85.3	0.1174	0.069	0.047	480	14.66	15.67	3.25	3.26
2018/10/30	84.8	85.3	83	85.1	641 	"54,035"	0	0.284	"225,727"	"19,209"	84.6	85.1	0	0.071	0.065	582	14.65	15.65	3.25	3.25
2018/10/29	84.6	85.2	84	85.1	779 	"66,037"	0.591	0.3451	"225,727"	"19,209"	85	85.1	0.5893	0.071	0.077	663	14.65	15.65	3.25	3.25
2018/10/26	89.9	90.2	83.2	84.6	3174 	"274,640"	-3.8636	1.4061	"225,727"	"19,096"	84.5	84.6	-3.9403	0.071	0.251	"2,119"	14.56	15.56	3.23	3.24
2018/10/25	88.6	89.5	87	88	1567 	"138,583"	-2.2222	0.6942	"225,727"	"19,863"	87.9	88	-2.2473	0.073	0.122	"1,173"	15.15	16.18	3.36	3.37
2018/10/24	87.9	90.1	87.5	90	2498 	"223,706"	2.3891	1.1066	"225,727"	"20,315"	89.9	90	2.361	0.073	0.208	"1,719"	15.49	16.55	3.44	3.44
2018/10/23	88	88.7	87.6	87.9	491 	"43,359"	-0.7901	0.2175	"225,727"	"19,841"	87.9	88	-0.7932	0.071	0.05	417	15.13	16.17	3.36	3.36
2018/10/22	86.6	89.9	86.1	88.6	1149 	"101,664"	2.3095	0.509	"225,727"	"19,999"	88.6	88.7	2.2832	0.071	0.124	784	15.25	16.3	3.38	3.39
2018/10/19	85.2	86.6	84.5	86.6	874 	"74,999"	1.0502	0.3872	"225,727"	"19,547"	86	86.6	1.0447	0.069	0.066	520	14.91	15.93	3.31	3.31
2018/10/18	86	86.2	85.3	85.7	323 	"27,744"	0.2339	0.1431	"225,727"	"19,344"	85.6	85.9	0.2336	0.068	0.032	272	14.75	15.76	3.27	3.28
2018/10/17	86.5	86.7	85.5	85.5	634 	"54,649"	0.1171	0.2809	"225,727"	"19,299"	85.5	85.7	0.117	0.065	0.053	531	14.72	15.73	3.27	3.27
2018/10/16	85.2	86.5	85	85.4	480 	"41,179"	0.1172	0.2126	"225,727"	"19,277"	85.3	85.8	0.1172	0.065	0.042	356	14.7	15.71	3.26	3.27
2018/10/15	83.6	85.4	83.6	85.3	544 	"46,113"	0.1174	0.241	"225,727"	"19,254"	85.2	85.4	0.1173	0.066	0.045	478	14.68	15.69	3.26	3.26
2018/10/12	83.9	85.9	83.8	85.2	934 	"79,274"	0.5903	0.4138	"225,727"	"19,231"	85.2	85.4	0.5886	0.065	0.06	718	14.66	15.67	3.25	3.26
2018/10/11	85	85.6	82.8	84.7	2023 	"170,630"	-4.077	0.8962	"225,727"	"19,119"	84.6	84.7	-4.1625	0.066	0.094	"1,271"	14.58	15.58	3.24	3.24
2018/10/9	87.6	89.5	87.1	88.3	1138 	"100,912"	0.9143	0.5041	"225,727"	"19,931"	88.3	88.5	0.9101	0.064	0.09	911	15.2	16.24	3.37	3.38
2018/10/8	86.7	88.6	86.7	87.5	867 	"76,124"	-0.3417	0.3841	"225,727"	"19,751"	87.5	87.8	-0.3423	0.064	0.069	665	15.06	16.09	3.34	3.35
2018/10/5	90	90.4	87.5	87.8	1414 	"125,601"	-2.5527	0.6264	"225,727"	"19,818"	87.7	87.8	-2.5859	0.063	0.091	"1,118"	15.11	16.15	3.35	3.36
2018/10/4	90.5	91.2	89.1	90.1	3683 	"331,670"	1.236	1.6316	"225,727"	"20,338"	90.1	90.2	1.2284	0.064	0.318	"2,306"	15.51	16.57	3.44	3.45
2018/10/3	88	90.5	87.6	89	2769 	"247,752"	1.2514	1.2267	"225,727"	"20,089"	89	89.2	1.2437	0.062	0.262	"1,899"	15.32	16.37	3.4	3.4
2018/10/2	87.9	88.1	86.7	87.9	871 	"76,482"	0.4571	0.3859	"225,727"	"19,841"	87.8	87.9	0.4561	0.061	0.076	691	15.13	16.17	3.36	3.36
2018/10/1	85.3	88	85.2	87.5	1447 	"126,273"	2.6995	0.641	"225,727"	"19,751"	87.5	87.6	2.6637	0.06	0.143	"1,044"	15.06	16.07	3.34	3.34
2018/9/28	85.5	85.5	84.8	85.2	621 	"52,911"	-0.3509	0.2751	"225,727"	"19,231"	85	85.3	-0.3515	0.059	0.041	536	14.66	16.32	3.25	3.04
2018/9/27	85.6	85.9	84.8	85.5	883 	"75,382"	-0.1168	0.3917	"225,433"	"19,274"	85.3	85.5	-0.1169	0.059	0.067	777	14.72	16.38	3.27	3.05
2018/9/26	84.9	87	84	85.6	973 	"82,876"	0.8245	0.4316	"225,433"	"19,297"	85.5	85.6	0.8211	0.059	0.086	760	14.73	16.4	3.27	3.06
2018/9/25	84.9	85.5	84.2	84.9	682 	"57,912"	0.4734	0.3025	"225,433"	"19,139"	84.8	85	0.4723	0.059	0.054	553	14.61	16.26	3.24	3.03
2018/9/21	85.2	85.3	84.4	84.5	334 	"28,301"	-0.1182	0.1482	"225,433"	"19,049"	84.5	84.7	-0.1183	0.058	0.019	311	14.54	16.18	3.23	3.02
2018/9/20	84.7	84.8	84	84.6	344 	"29,120"	0.7143	0.1526	"225,433"	"19,071"	84.4	84.6	0.7117	0.059	0.023	301	14.56	16.2	3.23	3.02
2018/9/19	84.6	84.7	84	84	217 	"18,353"	0.1192	0.0963	"225,433"	"18,936"	84	84.2	0.1191	0.059	0.015	214	14.46	16.09	3.21	3
2018/9/18	84.4	84.4	83.8	83.9	337 	"28,388"	-1.1779	0.1495	"225,433"	"18,913"	83.9	84	-1.1848	0.059	0.026	299	14.44	16.07	3.2	3
2018/9/17	85.2	85.3	83.5	84.9	364 	"30,862"	-0.1176	0.1615	"225,433"	"19,139"	84.6	84.9	-0.1177	0.059	0.037	308	14.61	16.26	3.24	3.03
2018/9/14	85	85.2	84.2	85	591 	"50,052"	1.432	0.2622	"225,433"	"19,161"	84.9	85	1.4218	0.059	0.042	439	14.63	16.28	3.25	3.04
2018/9/13	83.6	84.2	83.4	83.8	479 	"40,178"	0.3593	0.2125	"225,433"	"18,891"	83.7	83.9	0.3586	0.059	0.038	403	14.42	16.05	3.2	2.99
2018/9/12	84.5	84.5	83.1	83.5	679 	"56,803"	-0.5952	0.3012	"225,433"	"18,823"	83.4	83.5	-0.597	0.059	0.05	414	14.37	15.99	3.19	2.98
2018/9/11	82	84.3	81.9	84	1132 	"94,394"	1.8182	0.5021	"225,433"	"18,936"	83.9	84	1.8019	0.059	0.078	821	14.46	16.09	3.21	3
2018/9/10	83.7	84.8	82.1	82.5	1750 	"145,298"	-1.7857	0.7763	"225,433"	"18,598"	82.4	82.5	-1.8019	0.058	0.098	"1,196"	14.2	15.8	3.15	2.95
2018/9/7	87.3	88	83.9	84	2555 	"219,403"	-3.7801	1.1334	"225,433"	"18,936"	84	84.1	-3.8534	0.058	0.152	"1,699"	14.46	16.09	3.21	3
2018/9/6	88.4	88.4	87	87.3	2683 	"235,535"	-2.0202	1.1902	"225,433"	"19,680"	87.3	87.6	-2.0409	0.06	0.191	"1,752"	15.03	16.72	3.33	3.12
2018/9/5	88.8	92.4	88.8	89.1	8342 	"756,942"	1.25	3.7004	"225,433"	"20,086"	89.1	89.2	1.2423	0.061	0.674	"5,270"	15.34	17.07	3.4	3.18
2018/9/4	88.1	88.1	87.2	88	387 	"34,062"	0.5714	0.1717	"225,433"	"19,838"	87.9	88	0.5698	0.06	0.031	314	15.15	16.85	3.36	3.14
2018/9/3	87.8	88.4	87.2	87.5	442 	"38,788"	0.344	0.1961	"225,433"	"19,725"	87.3	87.5	0.3434	0.06	0.036	378	15.06	16.76	3.34	3.13
2018/8/31	88.4	88.6	87.1	87.2	883 	"77,318"	-1.3575	0.3917	"225,433"	"19,657"	87.2	87.3	-1.3668	0.06	0.068	695	15.01	16.7	3.33	3.11
2018/8/30	87.8	88.6	87.3	88.4	657 	"57,766"	0.9132	0.2914	"225,430"	"19,928"	88.3	88.4	0.9091	0.06	0.054	501	15.22	16.93	3.38	3.16
2018/8/29	87.9	88.3	87.5	87.6	747 	"65,675"	0.1143	0.3314	"225,430"	"19,747"	87.6	87.8	0.1142	0.06	0.058	525	15.08	16.78	3.35	3.13
2018/8/28	87.3	88	87	87.5	669 	"58,589"	1.0393	0.2968	"225,430"	"19,725"	87.4	87.5	1.0339	0.06	0.048	481	15.06	16.76	3.34	3.13
2018/8/27	85.6	86.6	85.3	86.6	336 	"29,073"	1.6432	0.149	"225,430"	"19,522"	86.5	86.6	1.6298	0.06	0.03	301	14.91	16.59	3.31	3.09
2018/8/24	86	86.1	84.7	85.2	476 	"40,518"	-0.6993	0.2112	"225,430"	"19,206"	85.2	85.4	-0.7018	0.06	0.044	329	14.66	16.32	3.25	3.04
2018/8/23	86.5	86.8	85.8	85.8	787 	"67,950"	-0.8092	0.3491	"225,430"	"19,341"	85.7	85.8	-0.8125	0.06	0.073	471	14.77	16.43	3.28	3.06
2018/8/22	86.8	86.8	85.8	86.5	645 	"55,801"	0.1157	0.2861	"225,430"	"19,499"	86.5	86.6	0.1157	0.06	0.061	345	14.89	16.57	3.3	3.09
2018/8/21	86.1	86.5	85.9	86.4	426 	"36,813"	0.3484	0.189	"225,430"	"19,477"	86.4	86.5	0.3478	0.06	0.035	281	14.87	16.55	3.3	3.09
2018/8/20	86.1	86.8	86	86.1	561 	"48,442"	0	0.2489	"225,430"	"19,409"	86.1	86.2	0	0.061	0.045	344	14.82	16.49	3.29	3.08
2018/8/17	86.7	86.9	86	86.1	871 	"75,096"	0	0.3864	"225,430"	"19,409"	86.1	86.4	0	0.061	0.064	546	14.82	16.49	3.29	3.08
2018/8/16	85	86.5	85	86.1	636 	"54,669"	0.4667	0.2821	"225,430"	"19,409"	86	86.1	0.4657	0.061	0.042	427	14.82	16.49	3.29	3.08
2018/8/15	85.9	86.4	85.5	85.7	948 	"81,504"	0	0.4205	"225,430"	"19,319"	85.7	85.9	0	0.06	0.065	682	14.75	16.41	3.27	3.06
2018/8/14	85.5	86.4	85.5	85.7	589 	"50,698"	0.2339	0.2613	"225,430"	"19,319"	85.7	85.9	0.2336	0.06	0.039	456	14.75	16.41	3.27	3.06
2018/8/13	87.5	87.5	84.2	85.5	1723 	"147,243"	-2.2857	0.7643	"225,430"	"19,274"	85.5	85.6	-2.3122	0.06	0.099	"1,163"	14.72	16.38	3.27	3.05
2018/8/10	87.5	87.9	87.2	87.5	372 	"32,604"	0	0.165	"225,430"	"19,725"	87.3	87.5	0	0.06	0.028	308	15.06	16.76	3.34	3.13
2018/8/9	87.8	87.8	87.1	87.5	347 	"30,394"	-0.3417	0.1539	"225,430"	"19,725"	87.5	87.6	-0.3423	0.06	0.026	300	15.06	16.76	3.34	3.13
2018/8/8	88.8	88.9	87.6	87.8	820 	"72,195"	-0.5663	0.3637	"225,430"	"19,792"	87.8	87.9	-0.5679	0.06	0.054	668	15.11	16.82	3.35	3.14
2018/8/7	88.5	89.1	87.7	88.3	1563 	"138,016"	0.5695	0.6933	"225,430"	"19,905"	88.3	88.4	0.5679	0.061	0.122	937	15.2	16.91	3.37	3.15
2018/8/6	88.5	88.9	87.5	87.8	1226 	"108,000"	-1.1261	0.5438	"225,430"	"19,792"	87.8	87.9	-1.1325	0.06	0.1	874	16.2	16.82	3.14	3.14
2018/8/3	87	89.5	87	88.8	2415 	"213,645"	2.5404	1.0713	"225,430"	"20,018"	88.7	88.8	2.5087	0.061	0.165	"1,490"	16.38	17.01	3.17	3.17
2018/8/2	89	89.1	86.4	86.6	1730 	"151,825"	-2.4775	0.7675	"225,416"	"19,521"	86.6	86.9	-2.5087	0.06	0.119	"1,288"	15.98	16.59	3.09	3.09
2018/8/1	88.5	88.8	88	88.8	972 	"85,920"	0	0.4312	"225,416"	"20,016"	88.7	88.8	0	0.06	0.063	757	16.38	17.01	3.17	3.17
2018/7/31	88.1	88.8	87.6	88.8	1577 	"139,254"	1.0239	0.6996	"225,416"	"20,016"	88.6	88.8	1.0187	0.061	0.092	983	16.38	17.01	3.17	3.17
2018/7/30	88.6	89.3	87.6	87.9	1898 	"167,678"	-0.7901	0.842	"225,416"	"19,814"	87.8	87.9	-0.7932	0.06	0.14	"1,363"	16.22	16.83	3.14	3.14
