年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2018/04/17,    40.4000,43.5,40.1,41.0,6318
2018/04/18,    40.0000,41.2,39.3,39.45,2621
2018/04/19,    39.4500,42.7,39.4,41.2,2701
2018/04/20,    40.2500,40.6,39.85,40.2,1137
2018/04/23,    40.9000,42.5,40.7,41.6,1984
2018/04/24,    42.3000,43.65,40.7,43.0,2568
2018/04/25,    41.3500,41.8,40.0,40.8,1656
2018/04/26,    40.8000,42.2,38.4,39.0,2101
2018/04/27,    39.1500,39.5,38.05,38.05,1196
2018/04/30,    38.2000,38.65,38.0,38.65,595
2018/05/02,    39.7500,41.3,39.15,39.15,1186
2018/05/03,    38.4000,38.5,35.5,36.65,1535
2018/05/04,    36.7000,36.7,34.45,35.35,1470
2018/05/07,    35.6000,36.65,35.45,35.85,543
2018/05/08,    35.8500,36.3,35.8,36.1,287
2018/05/09,    36.3000,36.3,34.7,34.75,562
2018/05/10,    35.2500,35.4,34.6,34.7,550
2018/05/11,    34.9000,35.15,34.5,34.6,424
2018/05/14,    34.9000,34.9,33.1,33.35,739
2018/05/15,    33.3500,33.35,31.8,32.85,929
2018/05/16,    32.5000,34.55,32.5,34.2,593
2018/05/17,    34.0000,34.2,33.4,33.9,537
2018/05/18,    34.1000,34.3,33.3,33.55,242
2018/05/21,    33.9000,33.9,32.8,32.9,354
2018/05/22,    33.1000,33.1,32.15,33.0,356
2018/05/23,    33.1500,33.15,32.2,32.3,256
2018/05/24,    31.9500,32.9,31.95,32.15,288
2018/05/25,    32.2000,32.8,32.2,32.3,177
2018/05/28,    32.4000,32.7,31.85,31.9,433
2018/05/29,    32.0000,32.45,31.8,32.0,257
2018/05/30,    31.8000,32.3,31.8,31.95,210
2018/05/31,    31.9500,32.85,31.65,32.7,467
2018/06/01,    32.6000,33.9,32.6,33.3,460
2018/06/04,    33.5000,34.3,33.5,33.6,319
2018/06/05,    34.0000,34.0,32.95,32.95,238
2018/06/06,    33.2500,33.25,32.5,33.05,336
2018/06/07,    33.4000,33.85,33.1,33.5,311
2018/06/08,    33.4000,33.6,33.0,33.0,187
2018/06/11,    33.3500,33.35,32.65,32.85,158
2018/06/12,    32.5000,32.8,32.4,32.45,328
2018/06/13,    32.8500,32.85,32.4,32.4,192
2018/06/14,    32.4000,32.7,32.4,32.6,117
2018/06/15,    32.6000,32.8,32.35,32.55,142
2018/06/19,    32.4500,32.5,32.05,32.1,204
