年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2005/08/12,   100.5000,100.5,99.6,99.9,784
2005/08/15,    99.0000,99.7,99.0,99.7,51
2005/08/16,    99.0000,99.0,99.0,99.0,0
2005/08/17,    99.0000,99.0,98.5,98.5,67
2005/08/18,    99.0000,99.5,99.0,99.5,23
2005/08/19,    99.0000,99.0,99.0,99.0,30
2005/08/22,    99.0000,99.0,99.0,99.0,0
2005/08/23,    99.0000,99.4,99.0,99.0,80
2005/08/24,    99.0000,99.4,99.0,99.0,41
2005/08/25,    99.1000,99.1,99.0,99.1,70
2005/08/26,    99.0000,99.0,99.0,99.0,60
2005/08/29,    99.0000,99.15,99.0,99.15,200
2005/08/30,    99.2500,99.25,99.0,99.0,225
2005/08/31,    99.2000,99.5,98.5,98.5,130
2005/09/02,    99.0000,99.0,99.0,99.0,21
2005/09/05,    99.1500,99.15,99.15,99.15,0
2005/09/06,   100.1000,101.5,100.1,101.5,305
2005/09/07,   102.0000,102.0,101.2,101.2,185
2005/09/08,   101.5000,102.0,101.4,101.7,102
2005/09/09,   101.5000,101.5,101.1,101.5,113
2005/09/12,   101.6000,102.25,101.5,102.25,140
2005/09/13,   102.5000,102.5,102.0,102.0,100
2005/09/14,   102.0000,102.3,102.0,102.3,62
2005/09/15,   101.5000,101.85,101.25,101.85,73
2005/09/16,   101.0000,101.5,100.9,101.5,56
2005/09/19,   101.0000,101.0,101.0,101.0,0
2005/09/20,   101.2000,103.0,101.2,102.5,80
2005/09/21,   102.8000,103.1,102.8,103.1,60
2005/09/22,   103.0000,103.0,103.0,103.0,34
2005/09/23,   102.5000,102.5,102.5,102.5,30
2005/09/26,   102.2500,102.25,102.25,102.25,73
2005/09/27,   102.0000,102.05,102.0,102.0,95
2005/09/28,   102.4500,103.5,102.45,103.25,176
2005/09/29,   104.3000,104.3,104.0,104.0,20
2005/09/30,   105.0000,105.5,104.1,104.1,15
2005/10/03,   104.0000,106.0,104.0,106.0,106
2005/10/04,   106.0000,106.5,105.0,105.6,47
2005/10/05,   106.0000,107.0,106.0,107.0,45
2005/10/06,   107.0000,107.3,106.3,106.3,51
2005/10/07,   107.0000,110.0,107.0,110.0,228
2005/10/11,   108.0000,108.0,107.2,107.2,66
2005/10/12,   106.0000,106.1,106.0,106.0,39
2005/10/13,   106.2000,107.0,105.0,107.0,66
2005/10/14,   106.1000,107.0,106.0,107.0,41
2005/10/17,   106.5000,106.5,105.0,105.2,248
2005/10/18,   105.1000,105.3,105.0,105.3,200
2005/10/19,   105.2000,105.2,104.5,105.0,97
