Date,Open,High,Low,Close,Volume
2012/01/02,   101.0000,102.7,101.0,102.1,1321
2012/01/03,   102.3000,103.05,102.3,103.05,1096
2012/01/04,   103.1000,103.4,103.1,103.2,43
2012/01/05,   103.2000,103.7,103.2,103.7,37
2012/01/06,   103.5000,103.7,103.4,103.7,32
2012/01/09,   103.7000,103.7,103.5,103.55,19
2012/01/10,   103.6000,103.7,103.6,103.7,4
2012/01/11,   103.7000,103.7,103.7,103.7,3
2012/01/12,   103.7000,103.7,103.7,103.7,8
2012/01/13,   103.7000,103.7,103.7,103.7,2
2012/01/16,   103.7000,103.7,103.7,103.7,0
2012/01/17,   103.3000,104.0,103.0,104.0,114
2012/01/18,   104.0000,104.0,103.5,103.8,63
2012/01/30,   103.8000,104.1,103.8,104.0,61
2012/01/31,   104.0000,104.5,104.0,104.5,276
2012/02/01,   104.5000,104.5,104.5,104.5,0
2012/02/02,   106.1000,107.0,106.1,107.0,11
2012/02/03,   107.8000,107.8,107.8,107.8,5
2012/02/04,   109.2000,109.2,109.2,109.2,1
2012/02/06,   109.2000,109.2,109.0,109.0,10
2012/02/07,   109.2000,109.2,109.2,109.2,1
2012/02/08,   109.1000,110.0,109.1,109.5,19
2012/02/09,   109.0000,109.0,109.0,109.0,5
2012/02/10,   109.0000,109.0,109.0,109.0,20
2012/02/13,   109.3000,109.3,109.3,109.3,10
2012/02/14,   108.0000,108.0,107.65,107.65,4
2012/02/15,   107.6500,107.65,107.65,107.65,0
2012/02/16,   108.0000,108.0,108.0,108.0,0
2012/02/17,   108.0000,108.5,108.0,108.0,7
2012/02/20,   107.6000,107.6,107.6,107.6,1
2012/02/21,   107.0000,107.0,107.0,107.0,1
2012/02/22,   107.2500,107.25,107.25,107.25,3
2012/02/23,   107.5000,107.5,107.5,107.5,5
2012/02/24,   107.5000,107.9,107.5,107.9,23
2012/02/29,   107.9000,107.9,107.9,107.9,0
2012/03/01,   107.8000,108.5,107.8,108.5,7
2012/03/02,   108.0000,108.0,108.0,108.0,12
2012/03/03,   108.0000,108.0,108.0,108.0,0
2012/03/05,   108.0000,108.0,107.6,108.0,45
2012/03/06,   107.1000,107.1,107.0,107.0,15
2012/03/07,   107.0000,107.8,106.6,107.8,5
2012/03/08,   107.0000,107.0,107.0,107.0,14
2012/03/09,   108.0000,108.0,108.0,108.0,5
2012/03/12,   107.9000,108.0,107.9,108.0,7
2012/03/13,   107.0000,107.0,107.0,107.0,14
2012/03/14,   107.0500,107.05,107.05,107.05,2
2012/03/15,   107.0500,107.05,107.05,107.05,0
2012/03/16,   107.0500,107.05,107.05,107.05,0
2012/03/19,   106.5000,107.05,106.5,107.05,19
2012/03/20,   106.6000,106.65,106.6,106.6,15
2012/03/21,   106.8000,106.8,106.8,106.8,1
2012/03/22,   105.6500,105.65,105.65,105.65,1
2012/03/23,   105.6500,105.65,105.65,105.65,0
2012/03/26,   106.7000,106.7,106.7,106.7,0
2012/03/27,   106.7000,106.7,106.7,106.7,0
2012/03/28,   106.7000,106.7,106.7,106.7,0
2012/03/29,   105.0000,105.0,104.5,104.5,4
2012/03/30,   103.0000,104.5,103.0,104.5,2
2012/04/02,   104.5000,104.5,104.5,104.5,0
2012/04/03,   104.5000,104.5,104.5,104.5,3
2012/04/05,   102.7000,106.8,102.7,106.8,4
2012/04/06,   105.8000,105.8,105.8,105.8,1
2012/04/09,   103.5000,103.5,103.5,103.5,1
2012/04/10,   103.5000,103.5,103.5,103.5,0
2012/04/11,   105.0000,105.0,105.0,105.0,0
2012/04/12,   105.0000,105.0,105.0,105.0,0
2012/04/13,   105.5000,105.5,105.5,105.5,10
2012/04/16,   105.5000,105.5,105.5,105.5,0
2012/04/17,   106.9500,106.95,106.95,106.95,20
2012/04/18,   106.9500,106.95,106.95,106.95,0
2012/04/19,   106.0000,106.0,106.0,106.0,0
2012/04/20,   105.9500,105.95,105.95,105.95,0
2012/04/23,   104.5000,104.5,104.5,104.5,0
2012/04/24,   104.5000,104.5,104.5,104.5,0
2012/04/25,   103.5000,103.5,103.5,103.5,2
2012/04/26,   103.5000,103.5,103.5,103.5,0
2012/04/27,   103.6000,103.6,103.6,103.6,1
2012/04/30,   103.6000,103.6,103.6,103.6,0
2012/05/02,   103.6000,103.6,103.6,103.6,0
2012/05/03,   103.6000,103.6,103.6,103.6,0
2012/05/04,   103.6000,103.6,103.6,103.6,0
2012/05/07,   103.6000,103.6,103.6,103.6,0
2012/05/08,   103.6000,103.6,103.6,103.6,0
2012/05/09,   103.6000,103.6,103.6,103.6,0
