day,price
2021/10/01,22.4
2021/10/04,22.45
2021/10/05,22.35
2021/10/06,22.4
2021/10/07,22.55
2021/10/08,22.4
2021/10/12,22.5
2021/10/13,22.45
2021/10/14,22.4
2021/10/15,22.6
2021/10/18,22.7
2021/10/19,22.8
2021/10/20,22.8
2021/10/21,22.8
2021/10/22,22.8
2021/10/25,22.8
2021/10/26,22.9
2021/10/27,22.9
